,gfc,pandemic,normal
P31_S14_S15,-0.25591286332060476,-0.5233941342219205,0.15354718201577425
P3_S13,-0.0031263092440645913,0.06890632530789509,0.04747175901672
P51G,-0.2753420198025369,-0.10508824911024456,0.06376046953697512
P52,-0.07433902044470268,-1.2381973527060701,-4.759613372992817
P53,0.001848933619400403,0.0019857690315370426,0.0006589020299936932
P61,-0.11973107036643449,-0.2864413814344384,0.15002092441333797
P62,0.04323005985094812,-1.2646335578673122,0.2735457045928738
P71,0.2548266339773834,0.116039202414202,-0.14078746524621757
P72,0.05491768783082521,0.2574612962066273,-0.07259706066723583
GDP growth,-0.37362796789978625,-2.973362082379724,-4.283992957300596
